"제어번호","제목","저자","발행처","발행년도","ISBN번호","분류기호","대출횟수"
"000000270510","나미야 잡화점의 기적 :히가시노 게이고 장편소설","히가시노 게이고 지음","현대문학","2012","9788972756194","8","26"
"000001297078","여행의 이유 :김영하 산문","김영하 지음","문학동네","2019","9788954655972","8","23"
"000000993834","바깥은 여름 :김애란 소설","김애란 [지음]","문학동네","2017","9788954646079","8","20"
"000001485420","불편한 편의점 :김호연 장편소설","김호연 지음","나무옆의자","2021","9791161571188","8","20"
"000001508624","지구 끝의 온실 :김초엽 장편소설","김초엽 지음","Giant Books(자이언트북스)","2021","9791191824001","8","18"
"000001058983","파친코 :이민진 장편소설 .1","이민진 지음","문학사상","2018","9788970129815","8","18"
"000000541851","소년이 온다 :한강 장편소설","한강 지음","창비","2014","9788936434120","8","17"
"000000941718","돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설","야쿠마루 가쿠 지음","북플라자(Book plaza)","2017","9788998274795","8","16"
"000001485574","완전한 행복 :정유정 장편소설","정유정 지음","은행나무","2021","9791167370280","8","14"
"000001311391","이기적 유전자","리처드 도킨스 지음","을유문화사","2018","9788932473901","4","14"
"000001526996","H마트에서 울다","미셸 자우너 지음","문학동네","2022","9788954683371","8","13"
"000001398447","달러구트 꿈 백화점 :주문하신 꿈은 매진입니다 : 이미예 장편소설","이미예 지음","팩토리나인","2020","9791165341909","8","13"
"000001563027","불편한 편의점 :김호연 장편소설 .2","김호연 지음","나무옆의자","2022","9791161571379","8","13"
"000001591967","세상 끝의 카페","존 스트레레키 지음","클레이하우스","2023","9791198173812","8","13"
"000001314638","가재가 노래하는 곳 :델리아 오언스 장편소설","델리아 오언스 [지음]","살림 : 살림출판사","2019","9788952240569","8","12"
"000001402329","나의 하루는 4시 30분에 시작된다 :하루를 두 배로 사는 단 하나의 습관","김유진 지음","Tornado(토네이도)","2020","9791158511906","3","12"
"000001481845","미드나잇 라이브러리","매트 헤이그 지음","인플루엔셜","2021","9791191056556","8","12"
"000001590691","방주 :유키 하루오 장편소설","유키 하루오 지음","블루홀6(블루홀식스)","2023","9791189571894","8","12"
"000001220440","부자 아빠 가난한 아빠 :부자들이 들려주는 '돈'과 '투자'의 비밀 : 20주년 특별 기념판","로버트 기요사키 지음","민음인","2018","9791158883591","3","12"
"000001481788","소크라테스 익스프레스 :철학이 우리 인생에 스며드는 순간","에릭 와이너 지음","어크로스: 어크로스출판그룹","2021","9791190030922","1","12"
"000001589697","외로움 수업 :온전한 나와 마주하는 시간에 대하여","김민식 지음","생각정원","2023","9791191360608","3","12"
"000000034286","채식주의자 :한강 연작소설","한강 지음","창비","2007","9788936433598","8","12"
"000001563918","하얼빈 :김훈 장편소설","김훈 지음","문학동네","2022","9788954699914","8","12"
"000000002910","(인생을 바꾸는 자기 혁명) 몰입 :'생각하고 집중하고 몰입하라 =Think Hard","황농문 지음","랜덤하우스","2008","8925514826","3","11"
"000000722900","구의 증명 :최진영 소설","최진영 지음","은행나무","2015","9788956608556","8","11"
"000001329643","그릿 :IQ, 재능, 환경을 뛰어넘는 열정적 끈기의 힘","앤절라 더크워스 지음","비즈니스북스","2019","9791162540633","3","11"
"000001550988","내가 틀릴 수도 있습니다 :숲속의 현자가 전하는 마지막 인생수업","비욘 나티코 린데블라드 지음","다산초당 : 다산북스","2022","9791130689890","2","11"
"000001318628","대도시의 사랑법 :박상영 연작소설","박상영 지음","창비","2019","9788936437978","8","11"
"000001185774","방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술","조원재 지음","백도씨: 블랙피쉬","2018","9788968331862","6","11"
"000001485582","부의 시나리오 :불확실성을 기회로 만드는 4가지 투자전략","오건영 지음","Page2(페이지2북스)","2021","9791190977265","3","11"
"000001329652","선량한 차별주의자","김지혜 지음","창비","2019","9788936477196","3","11"
"000001555910","역행자 :돈?시간?운명으로부터 완전한 자유를 얻는 7단계 인생 공략집","자청 지음","웅진지식하우스 : 웅진씽크빅","2022","9788901260716","3","11"
"000001550980","작별인사 :김영하 장편소설","김영하 지음","복복서가","2022","9791191114225","8","11"
"000000495699","총, 균, 쇠 :무기, 병균, 금속은 인류의 운명을 어떻게 바꿨는가","재레드 다이아몬드 지음","문학사상","2013","9788970128856","3","11"
"000001582822","기분이 태도가 되지 말자 :감정조절이 필요한 당신을 위한 책","김수현 지음","Highest(하이스트 출판사)","2022","9791197647666","8","10"
"000001304062","나는 소망한다 내게 금지된 것을 :양귀자 장편소설","양귀자 [지음]","쓰다","2019","9788998441074","8","10"
"000001137438","내게 무해한 사람 :최은영 소설","최은영 지음","문학동네","2018","9788954651820","8","10"
"000001543223","도파민네이션 :쾌락 과잉 시대에서 균형 찾기","애나 렘키 지음","흐름출판","2022","9788965965046","5","10"
"000001591979","바다가 들리는 편의점","마치다 소노코 지음","모모 : 바이포엠 스튜디오","2023","9791192579504","8","10"
"000001525209","센 강의 이름 모를 여인 :기욤 뮈소 장편소설","기욤 뮈소 지음","밝은세상","2022","9788984374386","8","10"
"000001590932","스즈메의 문단속 :Suzume","신카이 마코토 지음","대원씨아이","2023","9791169791977","8","10"
"000001384503","시선으로부터, :정세랑 장편소설","정세랑 지음","문학동네","2020","9788954672214","8","10"
"000001031897","신경 끄기의 기술 :인생에서 가장 중요한 것만 남기는 힘","마크 맨슨 지음","갤리온: 웅진씽크빅","2017","9788901219943","1","10"
"000001318311","우리가 빛의 속도로 갈 수 없다면 :김초엽 소설집","김초엽 지음","허블","2019","9791190090018","8","10"
"000000158368","장수탕 선녀님","백희나 글?그림","책읽는곰","2012","9788993242706","8","10"
"000000319071","창문 넘어 도망친 100세 노인 :요나스 요나손 장편소설","요나스 요나손 지음","열린책들","2013","9788932916194","8","10"
"000001555843","최재천의 공부 :어떻게 배우며 살 것인가","최재천","김영사","2022","9788934943457","3","10"
"000001031732","친밀한 이방인 :정한아 장편소설","정한아 지음","문학동네","2017","9788954648523","8","10"
"000001509082","홍학의 자리 :정해연 장편소설","정해연 지음","엘릭시르 : 문학동네","2021","9788954681155","8","10"
"000001523954","(고양이 해결사) 깜냥 :홍민정 동화 .4 ,눈썰매장을 씽씽 달려라!","홍민정 지음","창비","2022","9788936448134","8","9"
"000001556888","(보도 섀퍼의) 돈","보도 섀퍼 지음","에포케","2022","9788919205013","3","9"
"000001509077","(서울 자가에 대기업 다니는) 김 부장 이야기 .1 ,김 부장 편","송희구 지음","서삼독","2021","9791165343996","3","9"
"000001329932","(이상한 과자 가게) 전천당 .1","히로시마 레이코 글","길벗스쿨","2019","9791164064588","8","9"
"000001620118","각각의 계절 :권여선 소설","권여선 지음","문학동네","2023","9788954692526","8","9"
"000001375706","공간이 만든 공간 :새로운 생각은 어떻게 만들어지는가","유현준 지음","을유문화사","2020","9788932474274","5","9"
"000001473627","긴긴밤","루리 글?그림","문학동네","2021","9788954677158","8","9"
"000000709744","나는 부동산과 맞벌이한다 :배우자 대신 꼬박꼬박 월급을 가져오는 시스템 만들기","너바나 지음","시공사: 알키","2015","9788952773487","3","9"
"000001575448","나의 문화유산답사기 :내 고향 서울 이야기 .11 ,서울편 3 : 사대문 안동네","유홍준 지음","창비","2022","9788936479190","9","9"
"000001476231","달까지 가자 :장류진 장편소설","장류진 지음","창비","2021","9788936434496","8","9"
"000000313467","망원동 브라더스 :김호연 장편소설","김호연 지음","나무옆의자","2013","9788997962129","8","9"
"000001516142","모든 것은 기본에서 시작한다 :실력도 기술도 사람 됨됨이도, 기본을 지키는 손웅정의 삶의 철학","손웅정 지음","수오서재","2021","9791190382502","6","9"
"000000327483","부의 추월차선 :부자들이 말해 주지 않는 진정한 부를 얻는 방법","엠제이 드마코 지음","북새통: 토트출판사","2013","9788994702346","3","9"
"000001587233","사라진 소녀들의 숲 :허주은 장편소설","허주은 지음","M창비(미디어창비)","2022","9791191248913","8","9"
"000000672455","스토너 :존 윌리엄스 장편소설","존 윌리엄스 [지음]","RHK(알에이치코리아)","2015","9788925554990","8","9"
"000001525236","어서 오세요, 휴남동 서점입니다 :황보름 장편소설","황보름 지음","클레이하우스","2022","9791197377143","8","9"
"000001570783","작은 땅의 야수들 :김주혜 장편소설","김주혜 지음","다산책방: 다산북스","2022","9791130693927","8","9"
"000001137504","죽고 싶지만 떡볶이는 먹고 싶어 :백세희 에세이","백세희 지음","흔","2018","9791196394509","8","9"
"000000920583","지리의 힘 :지리는 어떻게 개인의 운명을, 세계사를, 세계 경제를 좌우하는가","팀 마샬 지음","사이","2016","9788993178692","3","9"
"000001332798","코스모스 :특별판","칼 세이건 지음","사이언스북스","2006","9788983711892","4","9"
"000001481864","프로젝트 헤일메리","앤디 위어 지음","RHK(알에이치코리아)","2021","9788925588735","8","9"
"000001383732","(나를 숨 쉬게 하는) 보통의 언어들","김이나 지음","위즈덤하우스","2020","9791190786355","8","8"
"000001590013","(이미 늦었다고 생각하는 당신을 위한) 김미경의 마흔 수업","김미경 지음","Awake Books: 엠케이유니버스","2023","9791198013026","3","8"
"000001550990","(이상한 과자 가게) 전천당 .14","히로시마 레이코 글","길벗스쿨","2022","9791164064243","8","8"
"000001590796","K 배터리 레볼루션 :향후 3년, 새로운 부의 시장에서 승자가 되는 법 =K battery revolution","박순혁 지음","지와인","2023","9791191521221","3","8"
"000001570744","나는 오래된 거리처럼 너를 사랑하고 :진은영 시집","진은영 지음","문학과지성사","2022","9788932040448","8","8"
"000001590784","날씨와 얼굴 :이슬아 칼럼집","이슬아 지음","위고","2023","9791186602935","8","8"
"000001587298","넛지 :복잡한 세상에서 똑똑한 선택을 이끄는 힘 : 파이널 에디션","리처드 탈러","리더스북 : 웅진씽크빅","2022","9788901260679","3","8"
"000001508517","다정한 것이 살아남는다","브라이언 헤어","디플롯","2021","9791197413025","4","8"
"000001588725","당신도 느리게 나이 들 수 있습니다","정희원 지음","더 퀘스트: 길벗","2023","9791140702589","5","8"
"000000681654","도시는 무엇으로 사는가 :도시를 보는 열다섯 가지 인문적 시선","유현준 지음","을유문화사","2015","9788932472959","3","8"
"000001527071","마음의 법칙 :사람의 마음을 사로잡는 51가지 심리학","폴커 키츠","포레스트북스 : 콘텐츠그룹 포레스트","2022","9791191347685","1","8"
"000001569980","마흔에 읽는 니체 :지금 이 순간을 살기 위한 철학 수업: Nietzsche","장재형 지음","유노북스: 유노콘텐츠그룹","2022","9791192300245","1","8"
"000000786756","사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문","유발 하라리 지음","김영사","2015","9788934972464","9","8"
"000001397927","상관없는 거 아닌가? :장기하 산문","장기하 지음","문학동네","2020","9788954674607","8","8"
"000001587273","생에 감사해","김혜자 지음","수오서재","2022","9791190382915","8","8"
"000001589436","서울 부동산 절대원칙 :일자리, 인구, 교통망, 학군, 인프라, 재개발&재건축 총망라 : real estate in Seoul","김학렬 지음","길벗","2023","9791140702718","3","8"
"000001555558","세상의 마지막 기차역 =The last train station in the world","무라세 다케시 지음","모모: 바이포엠 스튜디오","2022","9791191043754","8","8"
"000001554641","수상한 중고상점 :오늘도 정상 영업 중: 미치오 슈스케 장편소설","미치오 슈스케 지음","놀: 다산북스","2022","9791130689241","8","8"
"000001393868","여름의 빌라 :백수린 소설","백수린 지음","문학동네","2020","9788954673105","8","8"
"000001280246","우리는 왜 잠을 자야 할까 :수면과 꿈의 과학","매슈 워커 지음","열린책들","2019","9788932919584","5","8"
"000001570657","이토록 평범한 미래 :김연수 소설","김연수 지음","문학동네","2022","9788954680004","8","8"
